MINISTER_MESSAGE_ENTRY;$TITLE$ $NAME$;$TITLE$ $NAME$;$TITLE$ $NAME$;;$TITLE$ $NAME$;;;;;;;;;X
#;;;;;;;;;;;;;;x
MINISTER_DEATH_SETUP;When a minister dies.;Lorsqu'un ministre meurt.;Wenn ein Minister stirbt.;;Cuando un ministro muere.;;;;;;;;;x
MINISTER_DEATH_HEADER;Death;Mort;Tod;;Muerte;;;;;;;;;x
MINISTER_DEATH_1;$NAME$;$NAME$ est mort.;$NAME$;;$NAME$;;;;;;;;;x
MINISTER_DEATH_2;has died. We no longer have the possibility of having $NAME$ in our cabinet.;est mort. $NAME$ ne peut plus faire partie de notre cabinet.;ist gestorben. Wir können $NAME$ nicht länger als Kabinettmitglied einsetzen.;;ha muerto. Ya no tenemos la posibilidad de que $NAME$ forme parte de nuestro gabinete.;;;;;;;;;x
MINISTER_DEATH_3;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_4;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_5;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_6;*;*;*;;*;;;;;;;;;x
MINISTER_DEATH_LOG;MINISTER_DEATH_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  $MINISTERNAME$ has died.;$MINISTERNAME$ est mort.;$MINISTERNAME$ ist gestorben.;;$MINISTERNAME$ ha muerto.;;;;;;;;;x
MINISTER_DEATH_BTN1;OK;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_DEATH_BTN2;OK;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_DEATH_BTN3;Details;Détails;Details;;Detalles;;;;;;;;;x
MINISTER_DEATH_MAP;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_SETUP;When a new minister gets appointed;Lorsqu'un nouveau ministre est nommé;Wenn ein neuer Minister eingesetzt wird;;Cuando se elige un nuevo ministro.;;;;;;;;;x
MINISTER_APPOINTED_HEADER;A new minister;Le nouveau ministre;Ein neuer Minister,;;Un nuevo ministro;;;;;;;;;x
MINISTER_APPOINTED_1;$MINISTERNAME$;$MINISTERNAME$;$MINISTERNAME$,;;$MINISTERNAME$;;;;;;;;;x
MINISTER_APPOINTED_2;has been appointed to the position of $POSITION$;a été nommé au poste de $POSITION$.;wurde als $POSITION$ eingesetzt;;ha sido elegido para ocupar el cargo de $POSITION$;;;;;;;;;x
MINISTER_APPOINTED_3;$PERSONALITY_DESC$;$PERSONALITY_DESC$;$PERSONALITY_DESC$;;$PERSONALITY_DESC$;;;;;;;;;x
MINISTER_APPOINTED_4;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_5;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_6;*;*;*;;*;;;;;;;;;x
MINISTER_APPOINTED_LOG;MINISTER_APPOINTED_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  $MINISTERNAME$ appointed role as $POSITION$.;$MINISTERNAME$ a été désigné comme $POSITION$.;$MINISTERNAME$ wurde als $POSITION$ eingesetzt.;;$MINISTERNAME$ ha sido elegido como $POSITION$.;;;;;;;;;x
MINISTER_APPOINTED_BTN1;OK;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_APPOINTED_BTN2;OK;OK;OK;;Aceptar;;;;;;;;;x
MINISTER_APPOINTED_BTN3;Details;Détails;Details;;Detalles;;;;;;;;;x
MINISTER_APPOINTED_MAP;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_SETUP;When an election is held;Lorsque des élections ont lieu.;Wenn eine Wahl abgehalten wird;;Cuando se celebren elecciones.;;;;;;;;;x
ELECTIONRESULTS_HEADER;Election $ELECTION_YEAR$;Élections de $ELECTION_YEAR$;Wahl $ELECTION_YEAR$;;Elecciones $ELECTION_YEAR$;;;;;;;;;x
ELECTIONRESULTS_1;$WINNING_PARTY$;$WINNING_PARTY$;$WINNING_PARTY$;;$WINNING_PARTY$;;;;;;;;;x
ELECTIONRESULTS_2;Won the election;a gagné les élections;Gewann die Wahl;;Ganó las elecciones;;;;;;;;;x
ELECTIONRESULTS_3;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_4;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_5;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_6;*;*;*;;*;;;;;;;;;x
ELECTIONRESULTS_LOG;ELECTIONRESULTS_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  $WINNING_PARTY$ won the election of $ELECTION_YEAR$.;Le $WINNING_PARTY$ a remporté les élections de $ELECTION_YEAR$.;$WINNING_PARTY$ gewann die Wahl von $ELECTION_YEAR$.;;$WINNING_PARTY$ ganó las elecciones de $ELECTION_YEAR$.;;;;;;;;;x
ELECTIONRESULTS_BTN1;OK;OK;OK;;Aceptar;;;;;;;;;x
ELECTIONRESULTS_BTN2;OK;OK;OK;;Aceptar;;;;;;;;;x
ELECTIONRESULTS_BTN3;Details;Détails;Details;;Detalles;;;;;;;;;x
ELECTIONRESULTS_MAP;*;*;*;;*;;;;;;;;;x
EVENTHAPPENOTHEROPTION_SETUP;When a historical event with multiple choices happens to another country.;Lorsqu'un événement historique à choix multiple se produit dans un autre pays.;Wenn sich in einem anderen Land ein historisches Ereignis mit mehreren Auswahlmöglichkeiten ereignet.;Kiedy w innym pañstwie ma miejsce zdarzenie historyczne;A otro país le ocurre un suceso histórico con múltiples opciones.;Quando un evento storico a scelta multipla si verifica in un altro paese.;Mikor egy történelmi esemény több lehetõséget kínál egy másik nemzetnek;Když v jiné zemi dojde k historické události s více volbami.;;;;;;x
EVENTHAPPENOTHEROPTION_HEADER;$foreign_minister$ reports on;$foreign_minister$ a rédigé un rapport concernant :;$foreign_minister$ berichtet:;;$foreign_minister$ informa sobre;;;;;;;;;x
EVENTHAPPENOTHEROPTION_1;$COUNTRY$;$COUNTRY$.;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x
EVENTHAPPENOTHEROPTION_2;They tell us about the events of;Ils nous ont parlé de;Sie berichten uns über das Ereignis;informuje nas o wydarzeniu:;Nos informan de los eventos de;Ci parlano dei seguenti eventi:;A következõ eseményekrõl számolt be:;Sdìlují nám informace o událostech;;;;;;x
EVENTHAPPENOTHEROPTION_3;$EVENT$;$EVENT$;$EVENT$,;$EVENT$.;$EVENT$;$EVENT$,;$EVENT$;$EVENT$;;;;;;x
EVENTHAPPENOTHEROPTION_4;among the possible options, they went with;où ils ont choisi de;wobei sie von den möglichen Optionen;Spoœród wszystkich mo¿liwoœci wybrano;dónde, entre otras opciones, decidieron;dove, tra le diverse opzioni possibili, hanno scelto;és a több lehetõség közül a következõt választotta:;z dostupných možností si vybrali;;;;;;x
EVENTHAPPENOTHEROPTION_5;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;$OPTION$;;;;;;x
EVENTHAPPENOTHEROPTION_6;as their choice of action.;comme action à entreprendre parmi les options possibles.;gewählt haben.;jako opcjê dzia³ania.;como curso de la de acción.;.;és cselekedett is.;jako svoji volbu.;;;;;;x
EVENTHAPPENOTHEROPTION_LOG;EVENTHAPPENOTHEROPTION_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  Event: '$OPTION$' in '$EVENT$' for $COUNTRY$.;Événement : $COUNTRY$ a décidé de '$OPTION$' pendant '$EVENT$'.;Ereignis: $OPTION$ in $EVENT$ für $COUNTRY$.;$COUNTRY$. $EVENT$. $OPTION$;Suceso: '$OPTION$' en '$EVENT$' para $COUNTRY$.;Evento: $OPTION$ per $EVENT$ in $COUNTRY$.;Esemény: $COUNTRY$ nemzete a/az $OPTION$ lehetõséget választotta erre az eseményre válaszolva: $EVENT$.;Událost: $OPTION$ v $EVENT$ pro $COUNTRY$.;;;;;;x
EVENTHAPPENOTHEROPTION_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHEROPTION_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHEROPTION_BTN3;GOTO;ALLER À;Gehe zu;ID DO;Ir allí;ANDARE;Menj ide:;PØEJÍT NA;;;;;;x
EVENTHAPPENOTHEROPTION_MAP;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_SETUP;When a historical event with a single choice happens to another country.;Lorsqu'un événement historique à choix unique a lieu dans un autre pays.;Wenn sich in einem anderen Land etwas Historisches mit nur einer Auswahlmöglichkeit ereignet … ;Kiedy w innym kraju ma miejsce historyczne wydarzenie z jedyn¹ mo¿liw¹ opcj¹ wyboru;A otro país le ocurre un suceso histórico con una única opción.;Quando un evento storico a scelta singola si verifica in un altro paese.;Mikor egy történelmi esemény következményeként csak egy választási lehetõsége van egy másik országnak.;Když v jiné zemi dojde k historické události s jednou volbou.;;;;;;x
EVENTHAPPENOTHER_HEADER;$foreign_minister$ reports on;$foreign_minister$ a rédigé un rapport concernant :;$foreign_minister$ berichtet:;;$foreign_minister$ informa sobre;;;;;;;;;x
EVENTHAPPENOTHER_1;$COUNTRY$;$COUNTRY$.;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x
EVENTHAPPENOTHER_2;They tell us about the events of;Ils nous ont parlé de;Sie berichten uns über das Ereignis;informuje nas o wydarzeniu:;Nos informan de los eventos de;Ci parlano dei seguenti eventi:;A következõ eseményekrõl számolt be:;Sdìlují nám informace o událostech;;;;;;x
EVENTHAPPENOTHER_3;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$,;$EVENT$;$EVENT$;;;;;;x
EVENTHAPPENOTHER_4;which has happened to their country recently.;qui a récemment eu lieu dans ce pays.;das sich neulich in ihrem Land ereignet hat.;, które mia³o miejsce niedawno w ich pañstwie.;que han ocurrido recientemente en su país.;verificatisi nel loro paese di recente.;ami nemrég történt az országukban.;které se právì odehrály v jejich zemi.;;;;;;x
EVENTHAPPENOTHER_5;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_6;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_LOG;EVENTHAPPENOTHER_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  Event: '$EVENT$' in $COUNTRY$.;Événement : '$EVENT$', $COUNTRY$.;Ereignis: $EVENT$ in $COUNTRY$.;$COUNTRY$. $EVENT$.;Suceso: '$EVENT$' en $COUNTRY$.;Evento: $EVENT$ in $COUNTRY$.;Esemény: $EVENT$ $COUNTRY$ nemzeténél.;Událost: $EVENT$ v $COUNTRY$.;;;;;;x
EVENTHAPPENOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_SETUP;When a historical event happens to us.;Lorsqu'un événement historique se produit pour nous.;Wenn sich bei uns ein historisches Ereignis abspielt.;Kiedy wydarzenie historyczne ma miejsce w naszym pañstwie;Cuando nos ocurra un suceso histórico.;Quando un evento storico si verifica da noi.;Mikor egy történelmi esemény nálunk következik be;Když se u nás odehraje historická událost.;;;;;;x
EVENTHAPPENUS_HEADER;$foreign_minister$ reports on;$foreign_minister$ a rédigé un rapport concernant;$foreign_minister$ berichtet:;;$foreign_minister$ informa sobre;;;;;;;;;x
EVENTHAPPENUS_1;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;$EVENT$;;;;;;x
EVENTHAPPENUS_2;happened;qui s'est produit;ist bei uns; - to zdarzy³o siê;que nos ha sucedido;si è verificato;történt;stalo se;;;;;;x
EVENTHAPPENUS_3;to us.;pour nous.;eingetreten.;u nas.;a nosotros.;a noi.;nálunk.;nám.;;;;;;x
EVENTHAPPENUS_4;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_5;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_6;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_LOG;EVENTHAPPENUS_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  Event: '$EVENT$' for player.;Événement : '$EVENT$' pour le joueur.;Ereignis: $EVENT$ für Spieler.;Wydarzenie: $EVENT$ dla gracza.;Evento: '$EVENT$' para el jugador.;Evento: $EVENT$ per il giocatore.;Esemény: $EVENT$ a játékosnál.;Událost: $EVENT$ pro hráèe.;;;;;;x
EVENTHAPPENUS_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENUS_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
EVENTHAPPENUS_BTN3;*;*;*;*;*;*;*;;;;;;;x
EVENTHAPPENUS_MAP;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_SETUP;When another country executes a decision.;Lorsqu'un autre pays applique une décision.;Wenn ein anderes Land eine Entscheidung ausführt.;;Cuando otro país ejecuta una decisión.;;;;;;;;;x
DECISIONOTHER_HEADER;$foreign_minister$ reports on;$foreign_minister$ a rédigé un rapport concernant :;$foreign_minister$ berichtet:;;$foreign_minister$ informa sobre;;;;;;;;;x
DECISIONOTHER_1;$COUNTRY$;$COUNTRY$.;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;$COUNTRY$;;;;;;x
DECISIONOTHER_2;They have decided: ;Ils ont décidé de;In ihrem Reich ereignete sich kürzlich;;¡Han decidido;;;;;;;;;x
DECISIONOTHER_3;$EVENT$!;$EVENT$ !;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x
DECISIONOTHER_4;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;;;;;;;x
DECISIONOTHER_5;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_6;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_LOG;DECISIONOTHER_LOG > TITLE=$TITLE$ + NAME=$NAME$ + MINISTERNAME=$MINISTERNAME$ + POSITION=$POSITION$ + PERSONALITY_DESC=$PERSONALITY_DESC$ + ELECTION_YEAR=$ELECTION_YEAR$ + WINNING_PARTY=$WINNING_PARTY$ + foreign_minister=$foreign_minister$ + COUNTRY=$COUNTRY$ + EVENT=$EVENT$ + OPTION=$OPTION$ + DESC=$DESC$ + LAWNAME=$LAWNAME$ + EFFECT=$EFFECT$ + TYPE=$TYPE$ + LEVEL=$LEVEL$ + PROV=$PROV$ + TARGET=$TARGET$ + IMPACT=$IMPACT$ + EVIL=$EVIL$ + TRANSPORTS=$TRANSPORTS$ + ESCORTS=$ESCORTS$ + CONVOY=$CONVOY$ + minister_of_intelligence=$minister_of_intelligence$ + chief_of_army=$chief_of_army$ + UNIT=$UNIT$ + MONARCHTITLE=$MONARCHTITLE$ + LOCATION=$LOCATION$ + NEWHOME=$NEWHOME$ + chief_of_navy=$chief_of_navy$ + chief_of_staff=$chief_of_staff$ + PARENT=$PARENT$ + SUB=$SUB$ + OLD=$OLD$ + NEW=$NEW$ + FREE=$FREE$ + FCAPITAL=$FCAPITAL$ + FROM=$FROM$ + minister_of_security=$minister_of_security$ + REBELS=$REBELS$ + REBELDESC=$REBELDESC$ + EVENTDESC=$EVENTDESC$ + head_of_government=$head_of_government$ + MESSENGER=$MESSENGER$ +  Decision: $EVENT$ in $COUNTRY$.;Décision : $COUNTRY$ a décidé de $EVENT$.;Entscheidung: $EVENT$ in $COUNTRY$.;;Decisión: $EVENT$ en $COUNTRY$.;;;;;;;;;x
DECISIONOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECISIONOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
DECISIONOTHER_BTN3;*;*;*;*;*;*;*;;;;;;;x
DECISIONOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_SETUP;When we execute a decision.;Lorsque nous appliquons une décision.;Wenn wir eine Entscheidung ausführen.;;Cuando ejecutamos una decisión.;;;;;;;;;x
DECISIONUS_HEADER;$foreign_minister$ reports on;$foreign_minister$ a rédigé un rapport concernant;$foreign_minister$ berichtet:;;¡$foreign_minister$ informa sobre;;;;;;;;;x
DECISIONUS_1;$EVENT$!;$EVENT$ !;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;$EVENT$!;;;;;;x
DECISIONUS_2;$DESC$;$DESC$;$DESC$;;$DESC$;;;;;;;;;x
DECISIONUS_3;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_4;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_5;*;*;*;*;*;*;*;;;;;;;x
DECISIONUS_6;*;*;*;*;*;*;*;;;;;;;x
